Datetime,ssrdc,ssrd,t2m,u10,v10
2023-01-02 22:30:00,,,287.42944,0.48012877,-0.53706074
2023-01-02 22:45:00,,,287.3037,0.5077088,-0.5693774
2023-01-02 23:00:00,,,287.17798,0.5352888,-0.6016941
2023-01-02 23:15:00,,,287.09277,0.515049,-0.6005435
2023-01-02 23:30:00,,,287.00757,0.49480915,-0.5993929
2023-01-02 23:45:00,,,286.92236,0.47456932,-0.5982423
2023-01-03 00:00:00,,,286.83716,0.4543295,-0.5970917
2023-01-03 00:15:00,,,286.76587,0.4490409,-0.6104319
2023-01-03 00:30:00,,,286.69458,0.4437523,-0.62377214
2023-01-03 00:45:00,,,286.6233,0.4384637,-0.6371124
2023-01-03 01:00:00,,,286.552,0.4331751,-0.6504526
2023-01-03 01:15:00,,,286.5005,0.4515071,-0.68681955
2023-01-03 01:30:00,,,286.44897,0.4698391,-0.7231865
2023-01-03 01:45:00,,,286.39746,0.4881711,-0.75955343
2023-01-03 02:00:00,,,286.34595,0.5065031,-0.7959204
2023-01-03 02:15:00,,,286.2693,0.5110905,-0.8187978
2023-01-03 02:30:00,,,286.19263,0.5156779,-0.8416753
2023-01-03 02:45:00,,,286.11597,0.52026534,-0.86455274
2023-01-03 03:00:00,,,286.0393,0.52485275,-0.8874302
2023-01-03 03:15:00,,,285.969,0.50944185,-0.8876908
2023-01-03 03:30:00,,,285.89868,0.49403095,-0.8879514
2023-01-03 03:45:00,,,285.82837,0.47862005,-0.88821197
2023-01-03 04:00:00,,,285.75806,0.46320915,-0.88847256
2023-01-03 04:15:00,,,285.69287,0.4712646,-0.89939785
2023-01-03 04:30:00,,,285.6277,0.47932005,-0.91032314
2023-01-03 04:45:00,,,285.5625,0.4873755,-0.92124844
2023-01-03 05:00:00,,,285.4973,0.49543095,-0.9321737
2023-01-03 05:15:00,,,285.4112,0.48483396,-0.9197724
2023-01-03 05:30:00,,,285.32507,0.47423697,-0.90737104
2023-01-03 05:45:00,,,285.23895,0.46363997,-0.8949697
2023-01-03 06:00:00,,,285.15283,0.45304298,-0.88256836
2023-01-03 06:15:00,,,284.90533,0.46938586,-0.8987694
2023-01-03 06:30:00,,,284.65784,0.48572874,-0.9149704
2023-01-03 06:45:00,,,284.41034,0.5020716,-0.9311714
2023-01-03 07:00:00,0.0,0.0,284.16284,0.5184145,-0.94737244
2023-01-03 07:15:00,17.217926,17.540747,284.85266,0.5259657,-0.982676
2023-01-03 07:30:00,34.435852,35.081493,285.54248,0.5335169,-1.0179796
2023-01-03 07:45:00,51.653778,52.62224,286.2323,0.5410681,-1.0532832
2023-01-03 08:00:00,68.871704,70.16299,286.92212,0.5486193,-1.0885868
2023-01-03 08:15:00,119.03651,117.542015,287.99487,0.27808952,-0.9977739
2023-01-03 08:30:00,169.20131,164.92105,289.06763,0.0075597763,-0.90696096
2023-01-03 08:45:00,219.36612,212.30008,290.14038,-0.26296997,-0.81614804
2023-01-03 09:00:00,269.5309,259.6791,291.21313,-0.5334997,-0.7253351
2023-01-03 09:15:00,319.75253,286.99835,291.6573,-0.6879072,-0.6509373
2023-01-03 09:30:00,369.97415,314.31763,292.10144,-0.8423147,-0.5765395
2023-01-03 09:45:00,420.19577,341.63687,292.5456,-0.9967222,-0.5021417
2023-01-03 10:00:00,470.4174,368.95612,292.98975,-1.1511297,-0.4277439
2023-01-03 10:15:00,510.56595,387.68753,293.24286,-1.2707396,-0.3615694
2023-01-03 10:30:00,550.71454,406.41895,293.49597,-1.3903494,-0.2953949
2023-01-03 10:45:00,590.8631,425.15033,293.74908,-1.5099592,-0.22922039
2023-01-03 11:00:00,631.01166,443.88174,294.0022,-1.629569,-0.16304588
2023-01-03 11:15:00,656.2545,470.70328,294.25153,-1.7315888,-0.0733273
2023-01-03 11:30:00,681.4973,497.52478,294.50085,-1.8336086,0.016391277
2023-01-03 11:45:00,706.7402,524.3463,294.75018,-1.9356284,0.10610986
2023-01-03 12:00:00,731.98303,551.16785,294.9995,-2.0376482,0.19582844
2023-01-03 12:15:00,740.47797,561.0742,295.2138,-2.086051,0.27871656
2023-01-03 12:30:00,748.9729,570.9806,295.4281,-2.1344538,0.3616047
2023-01-03 12:45:00,757.46783,580.88696,295.6424,-2.1828566,0.44449282
2023-01-03 13:00:00,765.96277,590.79333,295.8567,-2.2312593,0.52738094
2023-01-03 13:15:00,756.97687,574.6658,295.9297,-2.1973944,0.5516405
2023-01-03 13:30:00,747.99097,558.5382,296.0027,-2.1635294,0.5759001
2023-01-03 13:45:00,739.00507,542.41064,296.07568,-2.1296644,0.60015965
2023-01-03 14:00:00,730.01917,526.2831,296.14868,-2.0957994,0.6244192
2023-01-03 14:15:00,703.98267,503.71313,296.14178,-2.0437884,0.6137488
2023-01-03 14:30:00,677.9461,481.1432,296.1349,-1.9917774,0.60307837
2023-01-03 14:45:00,651.90955,458.57327,296.128,-1.9397664,0.59240794
2023-01-03 15:00:00,625.87305,436.00333,296.1211,-1.8877554,0.5817375
2023-01-03 15:15:00,585.4072,388.8545,295.96515,-1.8616636,0.5792141
2023-01-03 15:30:00,544.9414,341.7057,295.8092,-1.8355718,0.5766907
2023-01-03 15:45:00,504.47556,294.5569,295.65326,-1.80948,0.57416725
2023-01-03 16:00:00,464.00974,247.40805,295.4973,-1.7833881,0.5716438
2023-01-03 16:15:00,413.50174,222.54944,295.30133,-1.7321575,0.5357568
2023-01-03 16:30:00,362.99377,197.69083,295.10535,-1.6809268,0.49986982
2023-01-03 16:45:00,312.48578,172.83223,294.90936,-1.6296961,0.46398282
2023-01-03 17:00:00,261.97778,147.97362,294.71338,-1.5784655,0.42809582
2023-01-03 17:15:00,212.82654,120.50077,294.3601,-1.4034312,0.4136443
2023-01-03 17:30:00,163.67528,93.02792,294.00684,-1.2283969,0.3991928
2023-01-03 17:45:00,114.52403,65.55507,293.65356,-1.0533626,0.3847413
2023-01-03 18:00:00,65.37278,38.082222,293.3003,-0.8783283,0.3702898
2023-01-03 18:15:00,49.029587,28.561666,292.80786,-1.0115042,0.42986417
2023-01-03 18:30:00,32.68639,19.041111,292.31543,-1.14468,0.48943853
2023-01-03 18:45:00,16.343195,9.5205555,291.823,-1.2778559,0.5490129
2023-01-03 19:00:00,0.0,0.0,291.33057,-1.4110317,0.60858727
2023-01-03 19:15:00,,,291.29504,-1.2632022,0.5677109
2023-01-03 19:30:00,,,291.25952,-1.1153727,0.5268345
2023-01-03 19:45:00,,,291.224,-0.9675431,0.4859581
2023-01-03 20:00:00,,,291.18848,-0.8197136,0.4450817
2023-01-03 20:15:00,,,291.20703,-0.748343,0.4295547
2023-01-03 20:30:00,,,291.2256,-0.6769724,0.4140277
2023-01-03 20:45:00,,,291.24414,-0.6056018,0.39850068
2023-01-03 21:00:00,,,291.2627,-0.5342312,0.38297367
2023-01-03 21:15:00,,,291.0467,-0.38214946,0.2745099
2023-01-03 21:30:00,,,290.8307,-0.23006773,0.16604614
2023-01-03 21:45:00,,,290.6147,-0.077986,0.05758238
2023-01-03 22:00:00,,,290.39868,0.074095726,-0.050881386
2023-01-03 22:15:00,,,290.22223,0.04901147,-0.057796
2023-01-03 22:30:00,,,290.04578,0.023927212,-0.06471062
2023-01-03 22:45:00,,,289.86932,-0.0011570454,-0.07162523
2023-01-03 23:00:00,,,289.69287,-0.026241302,-0.07853985
2023-01-03 23:15:00,,,289.61414,0.020681143,-0.09352255
2023-01-03 23:30:00,,,289.5354,0.06760359,-0.10850525
2023-01-03 23:45:00,,,289.45667,0.11452603,-0.12348795
2023-01-04 00:00:00,,,289.37793,0.16144848,-0.13847065
2023-01-04 00:15:00,,,289.237,0.17429113,-0.1427412
2023-01-04 00:30:00,,,289.09607,0.18713379,-0.14701176
2023-01-04 00:45:00,,,288.95514,0.19997644,-0.15128231
2023-01-04 01:00:00,,,288.8142,0.2128191,-0.15555286
2023-01-04 01:15:00,,,288.66418,0.22375059,-0.16637492
2023-01-04 01:30:00,,,288.51416,0.23468208,-0.17719698
2023-01-04 01:45:00,,,288.36414,0.24561357,-0.18801904
2023-01-04 02:00:00,,,288.2141,0.25654507,-0.1988411
2023-01-04 02:15:00,,,288.13153,0.2881453,-0.22670722
2023-01-04 02:30:00,,,288.04895,0.31974554,-0.25457335
2023-01-04 02:45:00,,,287.96637,0.35134578,-0.28243947
2023-01-04 03:00:00,,,287.8838,0.382946,-0.3103056
2023-01-04 03:15:00,,,287.86066,0.40498495,-0.33720303
2023-01-04 03:30:00,,,287.83752,0.4270239,-0.36410046
2023-01-04 03:45:00,,,287.8144,0.44906282,-0.3909979
2023-01-04 04:00:00,,,287.79126,0.47110176,-0.41789532
2023-01-04 04:15:00,,,287.74762,0.4964919,-0.46110082
2023-01-04 04:30:00,,,287.70398,0.52188206,-0.5043063
2023-01-04 04:45:00,,,287.66034,0.5472722,-0.5475118
2023-01-04 05:00:00,,,287.6167,0.57266235,-0.5907173
2023-01-04 05:15:00,,,287.62042,0.59050107,-0.64381313
2023-01-04 05:30:00,,,287.62415,0.6083398,-0.69690895
2023-01-04 05:45:00,,,287.62787,0.6261785,-0.75000477
2023-01-04 06:00:00,,,287.6316,0.6440172,-0.8031006
2023-01-04 06:15:00,,,287.30847,0.59290886,-0.75211287
2023-01-04 06:30:00,,,286.98535,0.5418005,-0.70112514
2023-01-04 06:45:00,,,286.66223,0.49069214,-0.6501374
2023-01-04 07:00:00,0.0,0.0,286.3391,0.43958378,-0.5991497
2023-01-04 07:15:00,16.721737,16.728546,286.87238,0.5170121,-0.70577955
2023-01-04 07:30:00,33.443474,33.457092,287.40564,0.59444046,-0.8124094
2023-01-04 07:45:00,50.16521,50.18564,287.9389,0.6718688,-0.91903925
2023-01-04 08:00:00,66.88695,66.914185,288.47217,0.74929714,-1.0256691
2023-01-04 08:15:00,116.46121,108.50745,289.44006,0.48120904,-0.9599867
2023-01-04 08:30:00,166.03549,150.10071,290.40796,0.21312094,-0.8943043
2023-01-04 08:45:00,215.60976,191.69398,291.37585,-0.054967165,-0.82862186
2023-01-04 09:00:00,265.18402,233.28725,292.34375,-0.32305527,-0.76293945
2023-01-04 09:15:00,315.60626,286.14636,292.88177,-0.51876426,-0.638721
2023-01-04 09:30:00,366.02847,339.0055,293.4198,-0.71447325,-0.5145025
2023-01-04 09:45:00,416.45068,391.8646,293.95782,-0.91018224,-0.39028406
2023-01-04 10:00:00,466.87292,444.72372,294.49585,-1.1058912,-0.2660656
2023-01-04 10:15:00,507.45032,475.20547,294.83844,-1.3032935,-0.0896039
2023-01-04 10:30:00,548.0277,505.6872,295.18103,-1.5006957,0.086857796
2023-01-04 10:45:00,588.6051,536.16895,295.52362,-1.698098,0.2633195
2023-01-04 11:00:00,629.1825,566.6507,295.8662,-1.8955002,0.4397812
2023-01-04 11:15:00,655.0468,567.8937,295.9967,-1.866853,0.44790864
2023-01-04 11:30:00,680.91113,569.1366,296.1272,-1.8382058,0.4560361
2023-01-04 11:45:00,706.7754,570.3795,296.2577,-1.8095586,0.46416354
2023-01-04 12:00:00,732.6397,571.6225,296.38818,-1.7809114,0.472291
2023-01-04 12:15:00,741.9211,560.702,296.44702,-1.7477307,0.4502499
2023-01-04 12:30:00,751.2025,549.7815,296.50586,-1.71455,0.42820883
2023-01-04 12:45:00,760.4839,538.861,296.5647,-1.6813693,0.40616775
2023-01-04 13:00:00,769.76526,527.94055,296.62354,-1.6481886,0.38412666
2023-01-04 13:15:00,760.7716,502.83533,296.60907,-1.6435244,0.39043546
2023-01-04 13:30:00,751.7779,477.73013,296.5946,-1.6388602,0.39674425
2023-01-04 13:45:00,742.7842,452.62494,296.58014,-1.634196,0.40305305
2023-01-04 14:00:00,733.7905,427.5197,296.56567,-1.6295319,0.40936184
2023-01-04 14:15:00,707.2489,394.9381,296.48444,-1.6583562,0.43063426
2023-01-04 14:30:00,680.7072,362.3565,296.4032,-1.6871805,0.45190668
2023-01-04 14:45:00,654.1655,329.77493,296.32196,-1.7160048,0.4731791
2023-01-04 15:00:00,627.6239,297.19333,296.24072,-1.7448292,0.49445152
2023-01-04 15:15:00,587.0531,294.0871,296.2182,-1.7586923,0.4984157
2023-01-04 15:30:00,546.48236,290.98083,296.19568,-1.7725554,0.5023799
2023-01-04 15:45:00,505.9116,287.87457,296.17316,-1.7864184,0.5063441
2023-01-04 16:00:00,465.34082,284.76834,296.15063,-1.8002815,0.51030827
2023-01-04 16:15:00,414.98727,253.51938,295.95044,-1.7659597,0.47332644
2023-01-04 16:30:00,364.63373,222.27042,295.75024,-1.731638,0.43634462
2023-01-04 16:45:00,314.2802,191.02147,295.55005,-1.6973162,0.3993628
2023-01-04 17:00:00,263.92667,159.7725,295.34985,-1.6629944,0.36238098
2023-01-04 17:15:00,214.855,131.78944,294.87976,-1.5008049,0.30640602
2023-01-04 17:30:00,165.78333,103.8064,294.40967,-1.3386154,0.25043106
2023-01-04 17:45:00,116.71167,75.82333,293.93958,-1.1764259,0.1944561
