Datetime,lcc,mcc,hcc,tcc,CI_RGB_interpolated,CSI
2023-01-02 10:45:00,0.20485687,0.17063141,0.8994446,0.9237137,,
2023-01-02 11:00:00,0.21011353,0.18927002,0.8903198,0.91970825,,
2023-01-02 11:15:00,0.25680542,0.26152802,0.86066437,0.9065323,,
2023-01-02 11:30:00,0.3034973,0.333786,0.8310089,0.8933563,,
2023-01-02 11:45:00,0.3501892,0.406044,0.80135345,0.88018036,,
2023-01-02 12:00:00,0.3968811,0.478302,0.771698,0.8670044,,
2023-01-02 12:15:00,0.3806076,0.4506607,0.6934891,0.8207855,,
2023-01-02 12:30:00,0.3643341,0.4230194,0.61528015,0.77456665,,
2023-01-02 12:45:00,0.3480606,0.3953781,0.5370712,0.7283478,,
2023-01-02 13:00:00,0.3317871,0.36773682,0.4588623,0.6821289,,
2023-01-02 13:15:00,0.34877777,0.3852768,0.45837402,0.6912308,,
2023-01-02 13:30:00,0.36576843,0.40281677,0.45788574,0.70033264,,
2023-01-02 13:45:00,0.3827591,0.42035675,0.45739746,0.7094345,,
2023-01-02 14:00:00,0.39974976,0.43789673,0.45690918,0.7185364,,
2023-01-02 14:15:00,0.40422058,0.42860413,0.36441803,0.6773453,,
2023-01-02 14:30:00,0.4086914,0.41931152,0.27192688,0.6361542,,
2023-01-02 14:45:00,0.41316223,0.41001892,0.17943573,0.5949631,,
2023-01-02 15:00:00,0.41763306,0.40072632,0.08694458,0.553772,,
2023-01-02 15:15:00,0.39561462,0.3550949,0.065208435,0.51329803,,
2023-01-02 15:30:00,0.3735962,0.3094635,0.04347229,0.4728241,,
2023-01-02 15:45:00,0.35157776,0.2638321,0.021736145,0.43235016,,
2023-01-02 16:00:00,0.32955933,0.21820068,0.0,0.39187622,,
2023-01-02 16:15:00,0.34439087,0.24507904,0.06972504,0.46044922,,
2023-01-02 16:30:00,0.3592224,0.2719574,0.13945007,0.5290222,,
2023-01-02 16:45:00,0.37405396,0.29883575,0.20917511,0.5975952,,
2023-01-02 17:00:00,0.3888855,0.3257141,0.27890015,0.6661682,,
2023-01-02 17:15:00,0.3847885,0.34558105,0.45230865,0.7455368,,
2023-01-02 17:30:00,0.38069153,0.365448,0.62571716,0.8249054,,
2023-01-02 17:45:00,0.37659454,0.38531494,0.7991257,0.904274,,
2023-01-02 18:00:00,0.37249756,0.40518188,0.9725342,0.9836426,,
2023-01-02 18:15:00,0.3537979,0.49192047,0.9759903,0.98773193,,
2023-01-02 18:30:00,0.33509827,0.57865906,0.9794464,0.9918213,,
2023-01-02 18:45:00,0.31639862,0.66539764,0.9829025,0.99591064,,
2023-01-02 19:00:00,0.29769897,0.75213623,0.98635864,1.0,,
2023-01-02 19:15:00,0.28673553,0.79042816,0.96873474,0.99868774,,
2023-01-02 19:30:00,0.2757721,0.8287201,0.95111084,0.9973755,,
2023-01-02 19:45:00,0.26480865,0.867012,0.93348694,0.99606323,,
2023-01-02 20:00:00,0.2538452,0.90530396,0.91586304,0.994751,,
2023-01-02 20:15:00,0.26233673,0.88734436,0.8977051,0.99224854,,
2023-01-02 20:30:00,0.27082825,0.86938477,0.8795471,0.9897461,,
2023-01-02 20:45:00,0.27931976,0.8514252,0.86138916,0.98724365,,
2023-01-02 21:00:00,0.28781128,0.8334656,0.8432312,0.9847412,,
2023-01-02 21:15:00,0.26649475,0.82185364,0.83802795,0.9758301,,
2023-01-02 21:30:00,0.24517822,0.8102417,0.8328247,0.96691895,,
2023-01-02 21:45:00,0.2238617,0.79862976,0.82762146,0.9580078,,
2023-01-02 22:00:00,0.20254517,0.7870178,0.8224182,0.9490967,,
2023-01-02 22:15:00,0.21281433,0.7087097,0.83605194,0.94569397,,
2023-01-02 22:30:00,0.2230835,0.6304016,0.84968567,0.94229126,,
2023-01-02 22:45:00,0.23335266,0.5520935,0.8633194,0.93888855,,
2023-01-02 23:00:00,0.24362183,0.4737854,0.8769531,0.93548584,,
2023-01-02 23:15:00,0.26944733,0.4192276,0.8941803,0.9449463,,
2023-01-02 23:30:00,0.29527283,0.3646698,0.9114075,0.95440674,,
2023-01-02 23:45:00,0.32109833,0.310112,0.92863464,0.9638672,,
2023-01-03 00:00:00,0.34692383,0.2555542,0.9458618,0.97332764,,
2023-01-03 00:15:00,0.34433746,0.22850037,0.951622,0.9749985,,
2023-01-03 00:30:00,0.3417511,0.20144653,0.9573822,0.9766693,,
2023-01-03 00:45:00,0.33916473,0.1743927,0.9631424,0.97834015,,
2023-01-03 01:00:00,0.33657837,0.14733887,0.9689026,0.980011,,
2023-01-03 01:15:00,0.36325073,0.16197205,0.97563934,0.98500824,,
2023-01-03 01:30:00,0.3899231,0.17660522,0.9823761,0.9900055,,
2023-01-03 01:45:00,0.41659546,0.1912384,0.98911285,0.99500275,,
2023-01-03 02:00:00,0.44326782,0.20587158,0.9958496,1.0,,
2023-01-03 02:15:00,0.42350006,0.18664551,0.9903717,0.9988098,,
2023-01-03 02:30:00,0.4037323,0.16741943,0.9848938,0.9976196,,
2023-01-03 02:45:00,0.38396454,0.14819336,0.9794159,0.99642944,,
2023-01-03 03:00:00,0.36419678,0.12896729,0.973938,0.99523926,,
2023-01-03 03:15:00,0.32807922,0.14865112,0.9757309,0.99274445,,
2023-01-03 03:30:00,0.29196167,0.16833496,0.9775238,0.99024963,,
2023-01-03 03:45:00,0.25584412,0.1880188,0.9793167,0.9877548,,
2023-01-03 04:00:00,0.21972656,0.20770264,0.9811096,0.98526,,
2023-01-03 04:15:00,0.22619629,0.20015717,0.974617,0.98111725,,
2023-01-03 04:30:00,0.23266602,0.1926117,0.9681244,0.9769745,,
2023-01-03 04:45:00,0.23913574,0.18506622,0.9616318,0.9728317,,
2023-01-03 05:00:00,0.24560547,0.17752075,0.95513916,0.96868896,,
2023-01-03 05:15:00,0.24132538,0.17297363,0.95912933,0.9715195,,
2023-01-03 05:30:00,0.23704529,0.16842651,0.9631195,0.97435,,
2023-01-03 05:45:00,0.2327652,0.1638794,0.9671097,0.9771805,,
2023-01-03 06:00:00,0.2284851,0.15933228,0.97109985,0.980011,,
2023-01-03 06:15:00,0.20661926,0.13591766,0.9671402,0.97382355,,
2023-01-03 06:30:00,0.18475342,0.11250305,0.96318054,0.9676361,,
2023-01-03 06:45:00,0.16288757,0.08908844,0.9592209,0.96144867,,
2023-01-03 07:00:00,0.14102173,0.06567383,0.95526123,0.95526123,,
2023-01-03 07:15:00,0.16122437,0.065979004,0.95331573,0.954628,,
2023-01-03 07:30:00,0.181427,0.06628418,0.95137024,0.95399475,,
2023-01-03 07:45:00,0.20162964,0.066589355,0.94942474,0.9533615,,
2023-01-03 08:00:00,0.22183228,0.06689453,0.94747925,0.9527283,,
2023-01-03 08:15:00,0.20414734,0.06448364,0.90187836,0.9190979,,
2023-01-03 08:30:00,0.1864624,0.062072754,0.85627747,0.8854675,,
2023-01-03 08:45:00,0.16877747,0.059661865,0.8106766,0.85183716,,
